Aug 11 18:03:17 dnsmasq[11978]: started, version pi-hole-v2.89-9461807 cachesize 10000
Aug 11 18:03:17 dnsmasq[11978]: DNS service limited to local subnets
Aug 11 18:03:17 dnsmasq[11978]: compile time options: IPv6 GNU-getopt no-DBus no-UBus no-i18n IDN DHCP DHCPv6 Lua TFTP no-conntrack ipset no-nftset auth cryptohash DNSSEC loop-detect inotify dumpfile
Aug 11 18:03:17 dnsmasq[11978]: using nameserver 192.168.100.10#53
Aug 11 18:03:17 dnsmasq[11978]: using only locally-known addresses for onion
Aug 11 18:03:17 dnsmasq[11978]: using only locally-known addresses for bind
Aug 11 18:03:17 dnsmasq[11978]: using only locally-known addresses for invalid
Aug 11 18:03:17 dnsmasq[11978]: using only locally-known addresses for localhost
Aug 11 18:03:17 dnsmasq[11978]: using only locally-known addresses for test
Aug 11 18:03:17 dnsmasq[11978]: read /etc/hosts - 8 names
Aug 11 18:03:17 dnsmasq[11978]: read /etc/pihole/custom.list - 0 names
Aug 11 18:03:17 dnsmasq[11978]: failed to load names from /etc/pihole/local.list: No such file or directory
Aug 11 18:03:39 dnsmasq[11978]: read /etc/hosts - 8 names
Aug 11 18:03:39 dnsmasq[11978]: read /etc/pihole/custom.list - 0 names
Aug 11 18:03:39 dnsmasq[11978]: read /etc/pihole/local.list - 0 names
Aug 11 18:37:26 dnsmasq[11978]: exiting on receipt of SIGTERM
Aug 11 21:56:23 dnsmasq[677]: started, version pi-hole-v2.89-9461807 cachesize 10000
Aug 11 21:56:23 dnsmasq[677]: DNS service limited to local subnets
Aug 11 21:56:23 dnsmasq[677]: compile time options: IPv6 GNU-getopt no-DBus no-UBus no-i18n IDN DHCP DHCPv6 Lua TFTP no-conntrack ipset no-nftset auth cryptohash DNSSEC loop-detect inotify dumpfile
Aug 11 21:56:23 dnsmasq[677]: using nameserver 192.168.10.10#53
Mar 30 12:49:24 dnsmasq[778]: query[A] api.snapcraft.io from 127.0.0.1
Mar 30 12:49:24 dnsmasq[778]: forwarded api.snapcraft.io to 192.168.10.1
Mar 30 12:49:24 dnsmasq[778]: query[AAAA] api.snapcraft.io from 127.0.0.1
Mar 30 12:49:24 dnsmasq[778]: forwarded api.snapcraft.io to 192.168.10.1
Mar 30 12:49:24 dnsmasq[778]: reply api.snapcraft.io is 185.125.188.55
Mar 30 12:49:24 dnsmasq[778]: reply api.snapcraft.io is 185.125.188.54
Mar 30 12:49:24 dnsmasq[778]: reply api.snapcraft.io is 185.125.188.59
Mar 30 12:49:24 dnsmasq[778]: reply api.snapcraft.io is 185.125.188.58
Mar 30 12:49:24 dnsmasq[778]: reply api.snapcraft.io is NODATA-IPv6
Mar 30 12:49:24 dnsmasq[778]: query[A] api.snapcraft.io from 127.0.0.1
Mar 30 12:49:24 dnsmasq[778]: cached api.snapcraft.io is 185.125.188.55
Mar 30 12:49:24 dnsmasq[778]: cached api.snapcraft.io is 185.125.188.54
Mar 30 12:49:24 dnsmasq[778]: cached api.snapcraft.io is 185.125.188.59
Mar 30 12:49:24 dnsmasq[778]: cached api.snapcraft.io is 185.125.188.58
Mar 30 12:49:24 dnsmasq[778]: query[AAAA] api.snapcraft.io from 127.0.0.1
Mar 30 12:49:24 dnsmasq[778]: cached api.snapcraft.io is NODATA-IPv6
Mar 30 12:49:25 dnsmasq[778]: query[PTR] 1.10.168.192.in-addr.arpa from 127.0.0.1
Mar 30 12:49:25 dnsmasq[778]: config 192.168.10.1 is NXDOMAIN
Mar 30 12:49:25 dnsmasq[778]: query[PTR] 1.10.168.192.in-addr.arpa from 127.0.0.1
Mar 30 12:49:25 dnsmasq[778]: config 192.168.10.1 is NXDOMAIN
Mar 30 12:49:51 dnsmasq[778]: query[A] ntp.ubuntu.com from 127.0.0.1
Mar 30 12:49:51 dnsmasq[778]: forwarded ntp.ubuntu.com to 192.168.10.1
Mar 30 12:49:51 dnsmasq[778]: query[AAAA] ntp.ubuntu.com from 127.0.0.1
Mar 30 12:49:51 dnsmasq[778]: forwarded ntp.ubuntu.com to 192.168.10.1
